ExitTrackletID,ExitImagePath,EnterTrackletID,EnterImagePath,Similarity,Category
24,/opt/storage/output/images_cropped/camera-1_24_449_0000002983.jpg,25,/opt/storage/output/images_cropped/camera-0_25_449_0000002978.jpg,1.0000,Inside
8,/opt/storage/output/images_cropped/camera-1_8_30_0000000158.jpg,,,0.4525,Ghost
5,/opt/storage/output/images_cropped/camera-1_5_18_0000000070.jpg,21,/opt/storage/output/images_cropped/camera-0_21_388_0000002449.jpg,0.7882,Inside
22,/opt/storage/output/images_cropped/camera-1_22_388_0000002453.jpg,7,/opt/storage/output/images_cropped/camera-0_7_30_0000000164.jpg,1.0000,Inside
23,/opt/storage/output/images_cropped/camera-1_23_423_0000002749.jpg,10,/opt/storage/output/images_cropped/camera-0_10_34_0000000194.jpg,0.9670,Inside
27,/opt/storage/output/images_cropped/camera-1_27_477_0000003277.jpg,9,/opt/storage/output/images_cropped/camera-0_9_33_0000000184.jpg,0.9641,Inside
28,/opt/storage/output/images_cropped/camera-1_28_501_0000003501.jpg,0,/opt/storage/output/images_cropped/camera-0_0_9_0000000019.jpg,0.9312,Inside
39,/opt/storage/output/images_cropped/camera-1_39_741_0000005466.jpg,35,/opt/storage/output/images_cropped/camera-0_35_661_0000004821.jpg,0.7881,Inside
50,/opt/storage/output/images_cropped/camera-1_50_1111_0000007854.jpg,,,0.1752,Ghost
54,/opt/storage/output/images_cropped/camera-1_54_1185_0000008470.jpg,,,0.1263,Ghost
56,/opt/storage/output/images_cropped/camera-1_56_1220_0000008784.jpg,,,0.1263,Ghost
57,/opt/storage/output/images_cropped/camera-1_57_1258_0000009090.jpg,,,0.1263,Ghost
59,/opt/storage/output/images_cropped/camera-1_59_1276_0000009228.jpg,,,0.1263,Ghost
24,/opt/storage/output/images_cropped/camera-1_24_449_0000002983.jpg,,,0.2335,Ghost
8,/opt/storage/output/images_cropped/camera-1_8_30_0000000158.jpg,,,0.1153,Ghost
5,/opt/storage/output/images_cropped/camera-1_5_18_0000000072.jpg,,,0.1235,Ghost
22,/opt/storage/output/images_cropped/camera-1_22_388_0000002453.jpg,,,0.2335,Ghost
23,/opt/storage/output/images_cropped/camera-1_23_423_0000002749.jpg,,,0.1153,Ghost
27,/opt/storage/output/images_cropped/camera-1_27_477_0000003277.jpg,,,0.1235,Ghost
28,/opt/storage/output/images_cropped/camera-1_28_501_0000003501.jpg,52,/opt/storage/output/images_cropped/camera-0_52_1132_0000008036.jpg,0.9017,Inside
39,/opt/storage/output/images_cropped/camera-1_39_741_0000005466.jpg,,,0.1047,Ghost
50,/opt/storage/output/images_cropped/camera-1_50_1111_0000007854.jpg,,,0.1257,Ghost
54,/opt/storage/output/images_cropped/camera-1_54_1185_0000008466.jpg,,,0.1485,Ghost
56,/opt/storage/output/images_cropped/camera-1_56_1220_0000008789.jpg,,,0.1754,Ghost
57,/opt/storage/output/images_cropped/camera-1_57_1258_0000009090.jpg,,,0.2292,Ghost
59,/opt/storage/output/images_cropped/camera-1_59_1276_0000009228.jpg,,,0.3856,Ghost
8,/opt/storage/output/images_cropped/camera-1_8_30_0000000161.jpg,,,0.2779,Ghost
5,/opt/storage/output/images_cropped/camera-1_5_18_0000000070.jpg,,,0.1543,Ghost
22,/opt/storage/output/images_cropped/camera-1_22_388_0000002453.jpg,,,0.0947,Ghost
24,/opt/storage/output/images_cropped/camera-1_24_449_0000002978.jpg,,,0.0978,Ghost
7,/opt/storage/output/images_cropped/camera-1_7_30_0000000158.jpg,,,0.0711,Ghost
5,/opt/storage/output/images_cropped/camera-1_5_18_0000000072.jpg,,,0.1312,Ghost
22,/opt/storage/output/images_cropped/camera-1_22_388_0000002447.jpg,,,0.1462,Ghost
23,/opt/storage/output/images_cropped/camera-1_23_423_0000002744.jpg,,,0.1755,Ghost
27,/opt/storage/output/images_cropped/camera-1_27_477_0000003277.jpg,,,0.2838,Ghost
28,/opt/storage/output/images_cropped/camera-1_28_501_0000003498.jpg,,,0.2838,Ghost
39,/opt/storage/output/images_cropped/camera-1_39_741_0000005466.jpg,,,0.3536,Ghost
50,/opt/storage/output/images_cropped/camera-1_50_1111_0000007854.jpg,,,0.2779,Ghost
54,/opt/storage/output/images_cropped/camera-1_54_1185_0000008466.jpg,,,0.1543,Ghost
56,/opt/storage/output/images_cropped/camera-1_56_1220_0000008784.jpg,,,0.5794,Ghost
57,/opt/storage/output/images_cropped/camera-1_57_1258_0000009090.jpg,,,0.0978,Ghost
59,/opt/storage/output/images_cropped/camera-1_59_1276_0000009231.jpg,,,0.0711,Ghost
7,/opt/storage/output/images_cropped/camera-1_7_30_0000000159.jpg,,,0.1312,Ghost
21,/opt/storage/output/images_cropped/camera-1_21_388_0000002428.jpg,,,0.1462,Ghost
36,/opt/storage/output/images_cropped/camera-1_36_688_0000005023.jpg,,,0.1755,Ghost
39,/opt/storage/output/images_cropped/camera-1_39_741_0000005419.jpg,,,0.2838,Ghost
8,/opt/storage/output/images_cropped/camera-1_8_30_0000000156.jpg,,,0.3536,Ghost
21,/opt/storage/output/images_cropped/camera-1_21_388_0000002434.jpg,,,0.2779,Ghost
36,/opt/storage/output/images_cropped/camera-1_36_688_0000005023.jpg,,,0.1543,Ghost
39,/opt/storage/output/images_cropped/camera-1_39_741_0000005419.jpg,,,0.5798,Ghost
50,/opt/storage/output/images_cropped/camera-1_50_1111_0000007809.jpg,,,0.0978,Ghost
54,/opt/storage/output/images_cropped/camera-1_54_1185_0000008424.jpg,,,0.0711,Ghost
56,/opt/storage/output/images_cropped/camera-1_56_1220_0000008742.jpg,,,0.1312,Ghost
57,/opt/storage/output/images_cropped/camera-1_57_1258_0000009043.jpg,,,0.1462,Ghost
59,/opt/storage/output/images_cropped/camera-1_59_1276_0000009181.jpg,,,0.1755,Ghost
,,8,/opt/storage/output/images_cropped/camera-0_8_30_0000000164.jpg,,Missing
,,11,/opt/storage/output/images_cropped/camera-0_11_82_0000000572.jpg,,Missing
,,12,/opt/storage/output/images_cropped/camera-0_12_82_0000000584.jpg,,Missing
